first_name,last_name,gender,past_3_years_bike_related_purchases,dob,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rank,Value
Stephen,Tittershill,Male,73,12/21/1991,28.69,Nurse Practicioner,Financial Services,High Net Worth,N,No,6,8 Scott Drive,3150,VIC,Australia,11,345,0.713
Katie,Warhurst,Female,0,12/2/1991,28.74,Help Desk Operator,Retail,High Net Worth,N,Yes,14,96 Rutledge Drive,3064,VIC,Australia,5,333,0.9
Donaugh,Benedict,Male,3,12/1/1991,28.74,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9,323,0.914
Oswald,MacCarlich,Male,81,11/24/1991,28.76,Assistant Media Planner,Entertainment,Mass Customer,N,No,14,16 Mosinee Place,4717,QLD,Australia,1,353,0.8
Shannen,Lewin,Female,21,6/7/1991,29.23,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,236,1.063
Gardiner,Gypps,Male,91,6/1/1991,29.25,VP Product Management,Retail,Mass Customer,N,Yes,13,1 Elgar Alley,2166,NSW,Australia,9,334,0.691
Dolorita,Strutton,Female,7,5/21/1991,29.28,General Manager,Manufacturing,Affluent Customer,N,No,17,07 Acker Pass,3178,VIC,Australia,8,232,0.5
Beverlee,Querree,Female,42,4/21/1991,29.36,Marketing Manager,Financial Services,High Net Worth,N,Yes,12,891 Ohio Terrace,2075,NSW,Australia,12,354,0.82
Yardley,Matten,Male,35,3/6/1991,29.48,Junior Executive,Financial Services,Mass Customer,N,No,15,74 Everett Court,4408,QLD,Australia,2,327,0.663
Ange,Chitham,Female,91,2/14/1991,29.54,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,262,1.030625
Natividad,Balducci,Female,39,2/7/1991,29.56,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,274,1.02265625
Worthington,Cohane,Male,60,1/23/1991,29.6,Chief Design Engineer,Entertainment,High Net Worth,N,No,2,846 Daystar Lane,2000,NSW,Australia,12,354,0.838
Hanny,Treven,Female,84,1/22/1991,29.6,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,88,1.297
Rubia,Evetts,Female,59,12/21/1990,29.69,Pharmacist,Health,Mass Customer,N,No,16,64213 Miller Point,2071,NSW,Australia,9,234,0.49
Morton,Petkens,Male,50,11/13/1990,29.79,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,258,1.038
Ceciley,Harg,Female,50,10/19/1990,29.86,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,409 Starling Lane,4172,QLD,Australia,7,346,0.888
Quentin,Gerleit,Female,32,9/15/1990,29.96,Associate Professor,Manufacturing,Mass Customer,N,No,4,88 Aberg Circle,3806,VIC,Australia,8,277,0.55
Pace,Clemonts,Male,99,7/28/1990,30.09,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,300,0.98
Bambi,Cogger,Female,51,7/12/1990,30.13,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,117,1.25
Debbie,Tillman,Female,3,7/6/1990,30.15,Account Coordinator,Manufacturing,High Net Worth,N,Yes,13,527 Jay Trail,4551,QLD,Australia,8,367,0.79
Datha,Fishburn,Female,15,7/2/1990,30.16,Office Assistant IV,Retail,Mass Customer,N,No,3,6 Caliangt Way,3079,VIC,Australia,12,191,0.383
Malorie,Votier,Female,90,5/29/1990,30.25,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,124,1.238
Hanson,Eastes,Male,74,5/20/1990,30.28,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,322,0.94
Hamel,Curzey,Male,11,4/4/1990,30.4,Structural Engineer,n/a,Mass Customer,N,Yes,9,6936 Homewood Avenue,4000,QLD,Australia,7,339,0.6625
Collete,Dory,Female,66,1/9/1990,30.64,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,194,1.1475
Seamus,Cains,Male,61,12/15/1989,30.71,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,277,1.02
Feodor,Vickers,Male,60,11/18/1989,30.78,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,170,1.172
Mel,Rochford,Female,11,7/23/1989,31.1,Assistant Professor,Retail,Mass Customer,N,Yes,4,56334 Vera Crossing,3013,VIC,Australia,9,327,0.627
Sula,Thomann,Female,56,3/17/1989,31.45,Assistant Manager,n/a,Mass Customer,N,No,6,7 Dayton Circle,2160,NSW,Australia,9,359,0.860625
Freddi,Litherborough,Female,46,1/14/1989,31.62,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,332,0.918
Juliana,Mitchenson,Female,55,1/5/1989,31.65,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,162,1.175
Callean,Wass,Male,65,12/15/1988,31.71,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14,0593 Stoughton Center,3073,VIC,Australia,8,313,0.584
Keely,Bointon,Female,71,10/16/1988,31.87,Nurse,Telecommunications,High Net Worth,N,No,3,55 Dorton Point,4154,QLD,Australia,9,251,0.499
Emelia,Ackwood,Female,72,9/30/1988,31.91,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,10,1 South Street,4183,QLD,Australia,9,361,0.839
Vivienne,Crayden,Female,82,9/18/1988,31.95,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,57,1.3546875
Keelby,Sudlow,Male,96,9/1/1988,31.99,Marketing Assistant,Manufacturing,High Net Worth,N,No,12,8042 Cherokee Court,3163,VIC,Australia,8,315,0.584
Glyn,,Male,47,2/13/1945,,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625
Chryste,Oddboy,Female,44,8/22/1988,32.02,Software Engineer III,Manufacturing,High Net Worth,N,Yes,4,2115 Maryland Alley,2320,NSW,Australia,9,239,0.459
Sonni,Milligan,Female,73,3/5/1988,32.49,Budget/Accounting Analyst III,Retail,Mass Customer,N,Yes,14,04769 Dahle Plaza,3170,VIC,Australia,9,334,0.627
Biddie,Gorce,Female,68,1/30/1988,32.58,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,269,1.031
Zollie,Crinidge,Male,39,1/10/1988,32.64,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,269,1.031
Gordon,Rewan,Male,42,1/7/1988,32.65,Chief Design Engineer,n/a,Mass Customer,N,No,5,91 Calypso Trail,2750,NSW,Australia,8,372,0.7225
Ilise,Clissold,Female,58,11/16/1987,32.79,Developer IV,Entertainment,High Net Worth,N,No,9,659 Comanche Plaza,2153,NSW,Australia,10,264,0.499
Petr,Westman,Male,5,11/2/1987,32.83,Nurse Practicioner,Property,Mass Customer,N,No,7,98454 Dapin Park,4556,QLD,Australia,7,347,0.638
Roddy,Rubinshtein,Male,37,10/8/1987,32.9,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,99,1.275
Lauralee,Fudge,Female,83,9/21/1987,32.94,Research Nurse,Health,Mass Customer,N,No,15,9460 Monument Park,3277,VIC,Australia,4,223,0.408
Stephi,Highton,Female,30,9/9/1987,32.97,Software Engineer I,Telecommunications,Mass Customer,N,Yes,12,293 Mendota Park,2154,NSW,Australia,10,258,0.478
Osbourn,Gherardini,Male,43,5/1/1987,33.33,,n/a,High Net Worth,N,Yes,16,5 Dryden Road,2782,NSW,Australia,7,377,0.74375
Dena,Pabst,Female,39,4/20/1987,33.36,Account Executive,Manufacturing,High Net Worth,N,Yes,17,02023 Loeprich Drive,3037,VIC,Australia,7,383,0.784
Sybilla,MacCart,Female,88,1/15/1987,33.62,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,26,1.453
Benedikt,Adamou,Male,15,1/15/1987,33.62,Recruiting Manager,Health,Mass Customer,N,No,11,4 Bluestem Pass,3564,VIC,Australia,3,244,0.442
Harriet,Brattan,Female,81,12/3/1986,33.74,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,324,0.956
Kinna,Kollasch,Female,7,11/9/1986,33.81,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,184,1.156
Nicolas,O'Donnell,Male,40,9/25/1986,33.93,Internal Auditor,n/a,Mass Customer,N,Yes,14,3319 Anthes Crossing,3177,VIC,Australia,7,380,0.8
Nichole,Leisman,Male,37,8/7/1986,34.06,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,146,1.188
Daryle,Marginson,Male,93,6/27/1986,34.18,Environmental Tech,Argiculture,Mass Customer,N,Yes,9,21316 Ohio Place,2121,NSW,Australia,12,237,0.417
Abner,Fraschetti,Male,33,1/23/1986,34.6,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,156,1.175
Irving,Babcock,Male,60,1/17/1986,34.62,Dental Hygienist,Health,High Net Worth,N,Yes,15,36 Killdeer Crossing,2705,NSW,Australia,1,246,0.436
Hilario,McCulloch,Male,61,1/10/1986,34.64,Physical Therapy Assistant,Retail,Mass Customer,N,No,8,799 Luster Road,3051,VIC,Australia,8,374,0.829
Davie,Blay,Male,94,12/19/1985,34.7,Financial Analyst,Financial Services,Mass Customer,N,No,8,7021 5th Alley,2770,NSW,Australia,7,339,0.595
Hatti,Carletti,U,35,,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,226,1.1125
Eustacia,Dornan,Female,68,9/2/1985,34.99,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,171,1.158
Barthel,Docket,Male,72,8/2/1985,35.08,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.641
Nowell,Preddy,Male,29,7/23/1985,35.11,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,116,1.2375
Cecelia,Cisar,Female,20,3/26/1985,35.43,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,286,1.02
Orly,Nesbitt,Female,6,3/25/1985,35.43,Analyst Programmer,Manufacturing,High Net Worth,N,Yes,14,7 Beilfuss Road,3163,VIC,Australia,6,388,0.714
Colene,Fishleigh,Female,24,3/14/1985,35.46,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,35,1.422
Tristam,Larose,Male,70,1/29/1985,35.59,VP Accounting,Financial Services,Mass Customer,N,No,17,9645 Moose Terrace,2137,NSW,Australia,11,360,0.893
Janaye,Eade,Female,23,12/13/1984,35.71,Chief Design Engineer,Health,Affluent Customer,N,No,4,2782 Northridge Street,2420,NSW,Australia,3,358,0.638
Rozamond,Riha,Female,54,10/7/1984,35.9,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,53,1.355
Jesse,Alflat,Male,31,9/1/1984,36,Executive Secretary,n/a,High Net Worth,N,No,5,49 Northfield Drive,2145,NSW,Australia,9,305,0.520625
Nils,Champion,Male,69,7/6/1984,36.15,Programmer III,Retail,Affluent Customer,N,No,13,261 Holy Cross Park,2750,NSW,Australia,9,384,0.82
Ashlen,Willbond,Female,64,5/15/1984,36.3,Software Consultant,Health,High Net Worth,N,No,16,723 Grayhawk Way,3934,VIC,Australia,8,291,0.499
Bertine,Smalles,Female,85,12/10/1983,36.73,VP Quality Control,Financial Services,Mass Customer,N,Yes,9,7 Johnson Hill,3028,VIC,Australia,8,381,0.68
Abbie,Oldman,Male,82,11/26/1983,36.76,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,208,1.136875
Wilone,Champley,Female,22,11/6/1983,36.82,,Manufacturing,High Net Worth,N,No,17,9346 Lyons Point,2077,NSW,Australia,10,294,0.48875
Michele,Pammenter,Male,23,6/26/1983,37.18,Teacher,Health,High Net Worth,N,No,2,37 Mesta Road,3198,VIC,Australia,8,275,0.457
Wilbert,O'Loughnan,Male,14,5/18/1983,37.29,Paralegal,Financial Services,Mass Customer,N,Yes,6,22580 Doe Crossing Drive,4055,QLD,Australia,9,383,0.68
Laurie,Odlin,Female,75,3/8/1983,37.48,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10,345,0.925
Lorrie,Antonelli,Male,47,2/11/1983,37.55,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,46,1.375
Hagen,MacCarter,Male,93,2/8/1983,37.56,,Entertainment,Affluent Customer,N,Yes,15,7 Ramsey Trail,3172,VIC,Australia,9,376,0.6375
Dorothy,Barnardo,Female,58,2/1/1983,37.58,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,52,1.363
Demott,Mullaly,Male,42,12/15/1982,37.71,Help Desk Operator,Property,Mass Customer,N,No,13,28 Hazelcrest Drive,2525,NSW,Australia,8,400,0.733
Kipp,Stockport,Male,36,12/10/1982,37.73,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11,333,0.946
Guilbert,Bearns,Male,42,10/29/1982,37.84,Financial Analyst,Financial Services,Mass Customer,N,Yes,5,47776 Packers Street,3226,VIC,Australia,8,344,0.563
Brena,Schnitter,Female,78,10/11/1982,37.89,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,19,1.484
Meade,Bampton,Male,69,4/25/1982,38.35,Health Coach III,Health,High Net Worth,N,No,17,7870 Stuart Crossing,2090,NSW,Australia,7,382,0.64
Verne,Loalday,Male,1,3/20/1982,38.45,Marketing Assistant,IT,High Net Worth,N,No,7,598 Memorial Place,2082,NSW,Australia,10,374,0.613
Erminie,Rabidge,Female,64,3/9/1982,38.48,,Manufacturing,High Net Worth,N,No,17,1969 Melody Lane,2170,NSW,Australia,8,371,0.59765625
Aldridge,Poskitt,Male,84,2/10/1982,38.56,VP Sales,n/a,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,303,1.009375
Stearne,Trolley,Male,42,2/1/1982,38.58,Automation Specialist IV,Financial Services,High Net Worth,N,No,14,638 Caliangt Avenue,2137,NSW,Australia,11,366,0.9
Odessa,Mc Andrew,Female,97,12/1/1981,38.75,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,44,1.38125
Honey,Gosdin,Female,0,11/29/1981,38.76,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,302,1.013
Ashby,Bispham,Male,71,10/29/1981,38.84,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,95,1.263
Mikel,McNess,Male,71,9/22/1981,38.94,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,26,1.453125
Zach,Hedman,Male,87,9/11/1981,38.97,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,304,1.016
Augustus,Bourley,Male,60,8/17/1981,39.04,,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,332,0.975
Glenn,Casbourne,Female,4,8/8/1981,39.06,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,120,1.234
Emelen,Bidnall,Male,79,8/5/1981,39.07,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,292,1.03
Therese,Brotherhood,Female,30,7/28/1981,39.1,Food Chemist,Health,Mass Customer,N,No,10,25044 Bay Avenue,2042,NSW,Australia,10,389,0.624
Aldin,Newsome,Male,24,7/6/1981,39.16,Financial Analyst,Financial Services,Mass Customer,N,No,17,058 Morningstar Center,2127,NSW,Australia,9,411,0.725
Cherye,Stanfield,Female,0,7/5/1981,39.16,Environmental Tech,Manufacturing,Affluent Customer,N,No,13,56766 Mariners Cove Place,2256,NSW,Australia,9,382,0.6
Giorgi,O'Shirine,Male,68,6/20/1981,39.2,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,207,1.125
Vittoria,Whitney,Female,95,6/3/1981,39.25,Research Assistant I,n/a,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,289,1.0359375
Sandor,Stirland,Male,67,5/26/1981,39.27,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10,322,0.988
Sibby,Skinner,Female,25,5/5/1981,39.33,Accountant IV,Manufacturing,Mass Customer,N,Yes,12,3 Sunbrook Alley,4178,QLD,Australia,7,405,0.7
Shepperd,Leonards,Male,17,4/14/1981,39.38,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5,38 Nobel Lane,2147,NSW,Australia,9,404,0.663
Francklin,Cross,Male,51,4/6/1981,39.4,Teacher,Property,Mass Customer,N,Yes,3,24593 Jackson Parkway,2231,NSW,Australia,10,323,0.49
Esther,Rooson,Female,14,2/22/1981,39.52,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,59,1.3375
Mandie,Jeffryes,Female,60,2/16/1981,39.54,Business Systems Development Analyst,n/a,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,180,1.1475
Loleta,Aberdalgy,Female,45,2/15/1981,39.54,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,297,1.025
Martelle,Tuppeny,Female,52,2/3/1981,39.57,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,43,1.381
Lynnell,Shoesmith,Female,44,1/29/1981,39.59,Occupational Therapist,Health,High Net Worth,N,Yes,7,5331 Ilene Parkway,2560,NSW,Australia,8,408,0.688
Moll,Ogilby,Female,25,12/19/1980,39.7,Research Assistant III,Manufacturing,Mass Customer,N,Yes,13,6 Hansons Crossing,4123,QLD,Australia,6,305,0.44
Egor,Mariette,Male,42,11/26/1980,39.76,Financial Advisor,Financial Services,Affluent Customer,N,No,3,79 Mockingbird Plaza,3163,VIC,Australia,7,364,0.553
Shane,Diss,Female,50,10/29/1980,39.84,,Financial Services,High Net Worth,N,Yes,16,22 Shelley Plaza,3198,VIC,Australia,8,418,0.711875
Flossy,Concannon,Female,64,10/20/1980,39.86,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,77,1.288
Celeste,Fretson,Female,91,9/16/1980,39.96,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,245,1.073
Darlleen,Shalcras,Female,77,9/14/1980,39.96,Health Coach I,Health,Mass Customer,N,No,11,383 Graceland Avenue,2010,NSW,Australia,10,396,0.598
Maurine,Clee,Female,45,9/13/1980,39.97,Automation Specialist II,Property,High Net Worth,N,Yes,5,6 Maple Plaza,2042,NSW,Australia,10,374,0.561
Killian,Nettles,Male,44,9/1/1980,40,Marketing Assistant,n/a,Affluent Customer,N,No,4,16 Pepper Wood Junction,3803,VIC,Australia,7,401,0.85
Dodi,Kiggel,Female,5,8/15/1980,40.05,,Financial Services,Mass Customer,N,Yes,13,05 Everett Trail,2114,NSW,Australia,11,359,0.93
Kaylyn,Jakaway,Female,45,7/30/1980,40.09,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8,335,0.983
Perry,Whitehurst,Male,79,5/29/1980,40.26,Structural Engineer,Manufacturing,High Net Worth,N,Yes,8,0 Nelson Crossing,3155,VIC,Australia,7,409,0.837
Eleonora,Wiszniewski,Female,49,4/23/1980,40.36,Financial Advisor,Financial Services,Affluent Customer,N,No,9,6227 Quincy Terrace,4740,QLD,Australia,2,406,0.613
Maurizia,Ritmeyer,Female,95,4/9/1980,40.4,Teacher,Entertainment,Mass Customer,N,Yes,3,0 Express Lane,2142,NSW,Australia,6,417,0.7
Gaultiero,Fibbens,Male,41,3/14/1980,40.47,Help Desk Technician,n/a,Affluent Customer,N,No,9,938 Bartillon Hill,2035,NSW,Australia,11,404,0.85
Dorian,Stollen,Male,78,2/16/1980,40.54,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,201,1.125
Norina,Blakeway,Female,60,2/11/1980,40.56,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,104,1.238
Kermit,Lebond,Male,36,2/1/1980,40.58,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.031
Sharron,Claibourn,Female,62,1/26/1980,40.6,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,22,1.4609375
Agnola,Batterson,Female,86,1/3/1980,40.66,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,7,216 Bultman Park,4305,QLD,Australia,3,421,0.655
Briant,Ladley,Male,75,12/17/1979,40.71,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,43,1.375
Muffin,Grigolon,Male,7,10/31/1979,40.84,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10,342,0.978
Wyndham,Woolford,Male,1,10/22/1979,40.86,Engineer IV,Manufacturing,Mass Customer,N,No,10,9107 Pine View Plaza,3977,VIC,Australia,6,427,0.782
Ajay,Worham,Female,80,9/30/1979,40.92,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,12,5 Homewood Road,2800,NSW,Australia,6,429,0.765
Nichols,Devinn,Male,47,9/29/1979,40.93,Recruiter,n/a,Affluent Customer,N,No,11,5280 Waxwing Point,2071,NSW,Australia,12,393,0.57
Fitzgerald,Hellikes,Male,25,7/28/1979,41.1,Media Manager IV,Health,Mass Customer,N,Yes,10,315 Center Park,3040,VIC,Australia,7,396,0.88
Daryl,Pauncefort,Female,12,6/18/1979,41.21,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,103,1.238
Emilie,Brody,Female,3,5/22/1979,41.28,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,135,1.18203125
Julita,Prene,Female,14,5/16/1979,41.3,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,13,5 Myrtle Junction,4128,QLD,Australia,2,355,0.499
Mitchell,MacCague,Male,58,4/11/1979,41.39,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,28,1.4375
Aloysius,Glowacz,Male,72,3/24/1979,41.44,Financial Advisor,Financial Services,Affluent Customer,N,No,18,07 Susan Lane,2232,NSW,Australia,10,362,0.938
Craggy,Happel,Male,37,2/10/1979,41.56,Marketing Manager,Manufacturing,High Net Worth,N,Yes,8,23 Del Sol Alley,3064,VIC,Australia,6,392,0.558
Lucine,Stutt,Female,64,1/28/1979,41.59,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703
Lucretia,D'Agostini,Female,41,12/14/1978,41.72,Database Administrator III,Manufacturing,High Net Worth,N,No,15,4 Gale Center,3185,VIC,Australia,7,421,0.825
Federico,Leuty,Male,59,12/11/1978,41.73,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,231,1.076
Kit,Easdon,Male,61,10/26/1978,41.85,Director of Sales,Property,Affluent Customer,N,No,12,3 Roth Junction,3156,VIC,Australia,8,382,0.906
Rodrique,Vernon,Male,70,8/6/1978,42.07,Budget/Accounting Analyst III,Manufacturing,Affluent Customer,N,No,17,5864 Mcbride Trail,3174,VIC,Australia,8,411,0.584
Adria,Van den Velde,Female,39,7/10/1978,42.15,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,Yes,9,6030 Becker Plaza,2261,NSW,Australia,7,418,0.588
Flore,Cashen,Female,79,6/21/1978,42.2,,Health,High Net Worth,N,No,17,4 Vera Pass,2640,NSW,Australia,4,433,0.6375
Gothart,Artus,Male,52,5/31/1978,42.26,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,207,1.105
Erhard,O'Moylane,Male,33,5/27/1978,42.27,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,332,0.999
Roch,Symson,Female,96,5/13/1978,42.31,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02
Rockie,MacKibbon,Male,42,4/20/1978,42.37,,n/a,Mass Customer,N,Yes,13,8 Bunker Hill Court,2298,NSW,Australia,8,437,0.690625
Menard,Venmore,Male,97,4/4/1978,42.41,Assistant Professor,Retail,High Net Worth,N,No,8,5 Hoard Trail,2197,NSW,Australia,10,441,0.738
Selle,Casper,Female,98,3/27/1978,42.43,Social Worker,Health,Mass Customer,N,Yes,10,34 Jay Hill,2880,NSW,Australia,1,440,0.7
Lacy,Drance,Female,27,2/5/1978,42.57,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,101,1.238
Rozamond,Turtle,U,69,,,Legal Assistant,IT,Mass Customer,N,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,324,1.01
Tedra,Goodbanne,Female,4,1/15/1978,42.63,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,126,1.1875
Haleigh,,Female,17,5/19/1952,,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375
Brendis,Pineaux,Male,12,1/15/1978,42.63,Mechanical Systems Engineer,Manufacturing,Mass Customer,N,No,5,43030 Carberry Way,2560,NSW,Australia,4,440,0.675
Jerrine,Cosbey,Female,21,1/11/1978,42.64,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,85,1.275
Leese,Huckleby,Female,67,9/10/1977,42.98,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,73 Riverside Trail,3777,VIC,Australia,7,376,0.93
Alon,,Male,17,6/23/1999,,Accountant IV,n/a,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,329,1
Andromache,Bonafacino,Female,84,9/1/1977,43,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,62,1.3125
Andrew,Froment,Male,58,7/19/1977,43.12,Office Assistant IV,Retail,High Net Worth,N,No,7,78 Bluestem Road,3860,VIC,Australia,2,444,0.7
Katy,Crooke,Female,0,6/30/1977,43.17,Food Chemist,Health,Mass Customer,N,No,13,67081 Burrows Center,2111,NSW,Australia,12,436,0.823
Gale,Disbrow,Female,59,5/14/1977,43.3,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,34,1.408
